ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Airdopes 441 Pro Special Batman Edition ,"
Sale price₹ 2,199",69% off,24 reviews,"★
  5.0
    ",Happy that i bought the 441pro.,The 41pro was suggested to me by a friend. I am happy that I took his advice and bought a gr8 product.
 Airdopes 441 Pro Special Batman Edition ,"
Sale price₹ 2,199",69% off,24 reviews,"★
  5.0
    ",Awesome,"The base, treble, voice clarification as well as noise cancellation is good. even when on call the voice is quiet clear. If you consider it look-wise they are really gorgeous."
 Airdopes 441 Pro Special Batman Edition ,"
Sale price₹ 2,199",69% off,24 reviews,"★
  5.0
    ",,"boAt Airdopes 441 Pro Special Batman Edition | Wireless Earbuds with 2600 mAh Carry Case, 6mm Drivers, Upto 20H nonstop Music, IPX7 Sweat & Water Resistance"
 Rockerz 450 Batman DC Edition ,"
Sale price₹ 1,299",67% off,8 reviews,"★
  4.9
    ",Amazing,Good product.
 Rockerz 450 Batman DC Edition ,"
Sale price₹ 1,299",67% off,8 reviews,"★
  4.9
    ",Amazing,Best sound and battery backup
 Rockerz 450 Batman DC Edition ,"
Sale price₹ 1,299",67% off,8 reviews,"★
  4.9
    ",Adorable sound,Adorable sound system and beautiful design I love it
 Rockerz 450 Batman DC Edition ,"
Sale price₹ 1,299",67% off,8 reviews,"★
  4.9
    ",,Product and Quality of product is good
 Rockerz 450 Batman DC Edition ,"
Sale price₹ 1,299",67% off,8 reviews,"★
  4.9
    ",Awesome,Amazing very good product. I Love it.🙂
 Rockerz 450 Batman DC Edition ,"
Sale price₹ 1,299",67% off,8 reviews,"★
  4.9
    ",,Too Good With Bass Nd Volume
 Rockerz 450 DC edition ,"
Sale price₹ 1,299",67% off,4 reviews,"★
  5.0
    ",Headphone,Veerrrrrrrrry gooooooooddddddd
 Rockerz 450 DC edition ,"
Sale price₹ 1,299",67% off,4 reviews,"★
  5.0
    ",,Rockerz 450 DC edition
 Rockerz 450 DC edition ,"
Sale price₹ 1,299",67% off,4 reviews,"★
  5.0
    ",,Rockerz 450 DC edition
 Rockerz 450 DC edition ,"
Sale price₹ 1,299",67% off,4 reviews,"★
  5.0
    ",Loved it,Really really loved it ❣️
 Rockerz 450 ,"
Sale price₹ 1,299",67% off,1 review,"★
  5.0
    ",Good,Good
